what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1336148460206
activated,editor,com.google.gwt.eclipse.core,2.6.0.v201205021203-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1336148461242
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1336148461242
closed,editor,com.google.gwt.eclipse.core,2.6.0.v201205021203-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1336148462694
closed,editor,com.google.gwt.eclipse.core,2.6.0.v201205021203-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1336148463795
closed,editor,com.google.gwt.eclipse.core,2.6.0.v201205021203-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1336148464776
activated,editor,com.google.gwt.eclipse.core,2.6.0.v201205021203-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1336148465738
closed,editor,com.google.gwt.eclipse.core,2.6.0.v201205021203-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1336148465738
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1336148474573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336148474589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336148476417
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1336148477308
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336148477323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336148479057
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336148521359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336148522067
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336148522907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336148534340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336148567006
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336148567728
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1336148575993
